Date,Mkt-RF,SMB,HML,RF
202003,-13.39,-4.88,-13.97,0.13
202004,13.65,2.49,-1.23,0
202005,5.58,2.48,-4.89,0.01
202006,2.46,2.7,-2.17,0.01
202007,5.77,-2.32,-1.38,0.01
202008,7.63,-0.22,-2.95,0.01
202009,-3.63,0.04,-2.68,0.01
202010,-2.1,4.36,4.21,0.01
202011,12.47,5.82,2.14,0.01
202012,4.63,4.89,-1.51,0.01
